"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19800]","CONVERGENT MARGIN","RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO","","32.97909","32.97909","131.39423","131.39423","SAE","","","s_TK-70 [19800]","NOT GIVEN [19800]","","","","","","","","APHYRIC [19800] ","VOL","","","","","WR [19800] ","69.53","0.72","","15.19","","","","2.95","1.91","0.71","0.11","","4.86","3.87","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002450",
"[19800]","CONVERGENT MARGIN","RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO","","32.96406","32.96406","131.38323","131.38323","SAE","","","s_TK48-3W-6 [19800]","NOT GIVEN [19800]","","","","","","","","APHYRIC [19800] ","VOL","","","","","WR [19800] ","67.9","0.76","","15.41","","","","3.45","1.79","0.7","0.12","","4.61","3.58","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1002451",
"[19800]","CONVERGENT MARGIN","RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO","","32.94157","32.94157","131.31634","131.31634","SAE","","","s_2059-ATOB4 [19800]","NOT GIVEN [19800]","","","","","","","","","VOL","","","","","WR [19800] ","63.98","0.87","","16.28","","","","5.04","3.79","1.6","0.12","","3.83","4.07","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.6","8.7","","","8.3","2.9","1.4","80.7","","","","","","121.2","465.5","34","270.6","15.6","","","","","","","","","","","","","673.9","","71.8","","","","","","","","","","","","","","","","","","","","","","","16.9","","12.3","","","","","","","","","","","","","","","","","","","","","","","","","","1002452",
"[19800]","CONVERGENT MARGIN","RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO","","32.94157","32.94157","131.31634","131.31634","SAE","","","s_2059-ATOB5 [19800]","NOT GIVEN [19800]","","","","","","","","","VOL","","","","","WR [19800] ","65.48","0.83","","15.84","","","","4.21","3.14","1.37","0.12","","4.13","4.27","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.5","7.1","","","5","3.3","4.1","79.3","","","","","","133.9","429.4","37.3","293.7","17.4","","","","","","","","","","","","","711.5","","74.3","","","","","","","","","","","","","","","","","","","","","","","17.9","","13.8","","0.512767","","","0.704064","","18.344","","15.562","","38.402","","","","","","","","","","","","","","","1002453",
"[19800]","CONVERGENT MARGIN","RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO","","32.94157","32.94157","131.31634","131.31634","SAE","","","s_2059-ATOB6 [19800]","NOT GIVEN [19800]","","","","","","","","","VOL","","","","","WR [19800] ","67.23","0.8","","15.57","","","","3.56","2.41","1.04","0.11","","4.46","4.4","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.8","4.8","","","2.5","3.4","1","75.8","","","","","","145.8","365.6","39.3","317","22.4","","","","","","","","","","","","","762.2","","77.1","","","","","","","","","","","","","","","","","","","","","","","18.7","","15.3","","","","","","","","","","","","","","","","","","","","","","","","","","1002454",
"[19800]","CONVERGENT MARGIN","RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO","","33.07828","33.07828","131.04406","131.04406","SAE","","","s_2092-AMPM1 [19800]","NOT GIVEN [19800]","","","","","","","","APHYRIC [19800] ","VOL","","","","","WR [19800] ","66.76","0.74","","15.87","","","","3.07","1.85","0.81","0.11","","4.57","4.01","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.2","3.8","","","1.9","3.8","1.9","87.1","","","","","","153.4","333","41.2","341.9","23.6","","","","","","","","","","","","","846.9","","84.4","","","","","","","","","","","","","","","","","","","","","","","21.5","","15.8","","","","","","","","","","","","","","","","","","","","","","","","","","1002455",
"[19800]","CONVERGENT MARGIN","RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO","","33.07828","33.07828","131.04406","131.04406","SAE","","","s_2092-AMPM2 [19800]","NOT GIVEN [19800]","","","","","","","","APHYRIC [19800] ","VOL","","","","","WR [19800] ","66.94","0.72","","15.77","","","","3.02","1.81","0.79","0.11","","4.55","4.06","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","3","","","1.8","3","1.6","86.4","","","","","","152.6","329.1","41","342.1","23.9","","","","","","","","","","","","","849.2","","86.4","","","","","","","","","","","","","","","","","","","","","","","22.1","","15.7","","","","","","","","","","","","","","","","","","","","","","","","","","1002456",
"[19800]","CONVERGENT MARGIN","RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO","","33.07828","33.07828","131.04406","131.04406","SAE","","","s_2092-AMPM3 [19800]","NOT GIVEN [19800]","","","","","","","","APHYRIC [19800] ","VOL","","","","","WR [19800] ","67.47","0.71","","15.42","","","","2.94","1.83","0.8","0.11","","4.54","4.27","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.7","2.9","","","1.7","3.5","1.3","84.4","","","","","","152.8","334.1","41.1","334.9","23.2","","","","","","","","","","","","","812.2","","81.5","","","","","","","","","","","","","","","","","","","","","","","21.9","","15.6","","","","","","","","","","","","","","","","","","","","","","","","","","1002457",
"[19800]","CONVERGENT MARGIN","RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO","","32.90587","32.90587","131.34945","131.34945","SAE","","","s_2109-ATBRPM1 [19800]","NOT GIVEN [19800]","","","","","","","","APHYRIC [19800] ","VOL","","","","","WR [19800] ","67.69","0.68","","15.22","","","","2.8","1.89","0.84","0.11","","4.85","3.93","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5","3.3","","","1.8","4","5.3","82.5","","","","","","158","340.2","40","330.1","23","","","","","","","","","","","","","780","","80.7","","","","","","","","","","","","","","","","","","","","","","","20.2","","15.6","","","","","","","","","","","","","","","","","","","","","","","","","","1002458",
"[19800]","CONVERGENT MARGIN","RYUKYU ARC / RYUKYU ARC / KYUSHU / ASO","","32.90587","32.90587","131.34945","131.34945","SAE","","","s_2109-ATBRPM2 [19800]","NOT GIVEN [19800]","","","","","","","","APHYRIC [19800] ","VOL","","","","","WR [19800] ","67.84","0.65","","14.79","","","","2.57","1.9","0.93","0.1","","4.78","4.02","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.2","3.8","","","1.7","3.9","4.2","79.4","","","","","","157.4","339.2","39.4","328.6","22.5","","","","","","","","","","","","","748.5","","73.5","","","","","","","","","","","","","","","","","","","","","","","19.8","","16.4","","0.512756","","","0.70403","","18.332","","15.552","","38.363","","","","","","","","","","","","","","","1002459",
