"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20243]","CONVERGENT MARGIN","SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CRETACEOUS-PALEOGENE","LEVYI GORBATYI SPRING, UPPER FLOW, SHKOTOVO PLATEAU","42","42","133","133","SAE","","","s_SH-99-1 [20243]","BASALT [20243]","","","UPPER [20243]","MIOCENE [20243]","","","","PLAGIOPHYRIC [20243] ","VOL","","","","","WR [20243] ","49.7","2.31","","16.13","","4.27","7.05","","7.94","5.1","0.14","","2.26","3.33","0.81","0.09","","","","","","","","","","","","","","","0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.55","","200","160","","","34","91","","","","","","","","37","741","34","248","49.4","","","","","","","","","","","","0.18","649","44.8","87.3","9.5","42.7","8","2.5","7.7","1.09","5.69","1","2.54","","1.99","0.27","5.39","2.94","","","","","","","","","3","","4.1","0.84","","","","0.70465","","","","","","","","","","","","","","","","","","","","","1035112",
"[20243]","CONVERGENT MARGIN","SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CRETACEOUS-PALEOGENE / PODGELBAN","SHKOTOVO PLATEAU","42","42","133","133","SAE","","","s_SH-01-175 [20243]","BASALT, ALKALINE [20243]","","","UPPER [20243]","MIOCENE [20243]","","","","","VOL","","","","","WR [20243] ","46.79","1.76","","16.49","","3.73","5.39","","5.26","8.87","0.22","","2.54","3.54","0.92","1.14","","","","","","","","","","","","","","","2.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.94","","","","","","","","","","","","","","","59","1188","36.34","553","135.68","","","","","","","","","","","","0.75","621","100.24","184.73","22.48","75.55","12.48","3.75","10.06","1.49","7.72","1.19","3.5","","2.6","0.36","11.49","8.02","","","","","","","","","","","11.78","2.74","","","","0.70477","","","","","","","","","","","","","","","","","","","","","1035114",
"[20243]","CONVERGENT MARGIN","SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CRETACEOUS-PALEOGENE / BURELOMNYI","SHKOTOVO PLATEAU","42","42","133","133","SAE","","","s_CHA-1620 [20243]","BASALT, SUBALKALINE [20243]","","","UPPER [20243]","MIOCENE [20243]","","","","","VOL","","","","","WR [20243] ","46.9","1.92","","16.02","","7.18","4.05","","7.37","7.71","0.17","","2.35","3.42","0.67","0.67","","","","","","","","","","","","","","","1.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2","","180","177","","","49","152","","","","","","","","36","678","24","223","54","","","","","","","","","","","","0.5","625","37.86","75.2","8.19","32.49","6.99","2.27","6.91","0.97","5.51","1.01","2.58","","2.41","0.31","5.92","2.54","","","","","","","","","2.7","","4.95","1.16","","","","","","","","","","","","","","","","","","","","","","","","","1035115",
"[20243]","CONVERGENT MARGIN","SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CRETACEOUS-PALEOGENE / STARIKOV","SHKOTOVO PLATEAU","42","42","133","133","SAE","","","s_SH-00-116 [20243]","BASALT, ALKALINE [20243]","","","UPPER [20243]","MIOCENE [20243]","","","","","VOL","","","","","WR [20243] ","45.3","2.45","","15.75","","4.03","8.47","","7.49","6.34","0.19","","2.71","4.43","0.79","0.33","","","","","","","","","","","","","","","1.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4","","","","","","","","","","","","","","","93","896","30","309","92.9","","","","","","","","","","","","1.13","934","53.3","95.1","10.2","44","8","2.4","7.6","1.03","5.29","1","2.51","","2.18","0.33","6.03","5.04","","","","","","","","","5","","7.89","1.67","","","","0.70394","","","","","","","","","","","","","","","","","","","","","1035116",
"[20243]","CONVERGENT MARGIN","SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CENOZOIC","BOL^SHOI KLYUCH BROOK, OSTROGORSKOE PLATEAU","48","48","135","135","SAE","","","s_CHA-1485 [20243]","PICRITE, ALKALINE [20243]","","","UPPER [20243]","MIOCENE [20243]","","","","","VOL","","","","","WR [20243] ","41.39","2.85","","15.9","","1.38","9.76","","8.98","13.92","0.19","","1.13","2.87","0.67","0.98","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.24","","150","320","","","38","270","","","","","","","","51","875","19.39","319","59","","","","","","","","","","","","0.5","407","35.07","74.15","8.95","39.48","7.7","2.45","7.02","0.92","4.71","0.83","2.2","","1.49","0.19","6.56","4.95","","","","","","","","","4.2","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","1035122",
"[20243]","CONVERGENT MARGIN","SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CRETACEOUS-PALEOGENE","SHKOTOVO PLATEAU","42","42","133","133","SAE","","","s_CHA-1432 [20243]","BASALT [20243]","","","UPPER [20243]","MIOCENE [20243]","","","","","VOL","","","","","WR [20243] ","48.59","2.1","","17.46","","4.21","2.97","","7.43","6.53","0.18","","1.69","3.81","0.57","0.78","","","","","","","","","","","","","","","3.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.45","","120","15","","","27","42","","","","","","","","30","542","26.95","201","36.51","","","","","","","","","","","","0.15","411","23.89","47.85","5.55","27.52","6.61","2.13","6.54","0.97","5.2","0.99","2.54","","2","0.28","4.58","2.19","","","","","","","","","1.67","","2.66","0.64","","","","","","","","","","","","","","","","","","","","","","","","","1035124",
"[20243]","CONVERGENT MARGIN","SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CRETACEOUS-PALEOGENE","SHKOTOVO PLATEAU","42","42","133","133","SAE","","","s_CHA-1438 [20243]","BASALT [20243]","","","UPPER [20243]","MIOCENE [20243]","","","","","VOL","","","","","WR [20243] ","47.76","2.55","","17.09","","1.39","9.4","","7.5","4.3","0.15","","2.4","4.4","0.74","1.46","","","","","","","","","","","","","","","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.71","","120","5","","","21","30","","","","","","","","40","478","34.17","257","44.01","","","","","","","","","","","","0.3","541","30.58","59.93","7.09","34.62","8.1","2.49","7.65","1.14","6.03","1.16","3.01","","2.39","0.34","5.72","2.51","","","","","","","","","2.58","","3.33","0.83","","","","","","","","","","","","","","","","","","","","","","","","","1035125",
"[20243]","CONVERGENT MARGIN","SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CRETACEOUS-PALEOGENE","SHKOTOVO PLATEAU","42","42","133","133","SAE","","","s_CHA-1440 [20243]","BASALT [20243]","","","UPPER [20243]","MIOCENE [20243]","","","","","VOL","","","","","WR [20243] ","45.94","1.72","","17.86","","1.1","7.82","","8.12","4.74","0.25","","2.32","4.3","0.57","0.36","","","","","","","","","","","","","","","4.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.98","","","","","","","","","","","","","","","41","690","27.58","242","43.86","","","","","","","","","","","","0.66","537","31.7","62.57","7.15","33.35","7.58","2.26","6.98","1.01","5.15","0.93","2.38","","1.81","0.28","5.18","2.63","","","","","","","","","3.54","","3.77","0.89","","","","","","","","","","","","","","","","","","","","","","","","","1035126",
"[20243]","CONVERGENT MARGIN","SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CRETACEOUS-PALEOGENE","SHKOTOVO PLATEAU","42","42","133","133","SAE","","","s_CHA-1444 [20243]","BASALT [20243]","","","UPPER [20243]","MIOCENE [20243]","","","","","VOL","","","","","WR [20243] ","47.51","2.2","","16.27","","2.19","7.52","","7.82","7.83","0.25","","2.42","3.2","0.05","0.16","","","","","","","","","","","","","","","2.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.09","","130","210","","","35","150","","","","","","","","33","811","30.61","269","53.52","","","","","","","","","","","","0.13","963","38.22","74.95","8.73","41.33","8.6","2.64","7.83","1.09","5.72","1","2.58","","2.06","0.26","5.87","3.17","","","","","","","","","3.03","","4.03","0.52","","","","","","","","","","","","","","","","","","","","","","","","","1035127",
"[20243]","CONVERGENT MARGIN","SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CRETACEOUS-PALEOGENE","SHKOTOVO PLATEAU","42","42","133","133","SAE","","","s_CHA-1435 [20243]","BASALT [20243]","","","UPPER [20243]","MIOCENE [20243]","","","","","VOL","","","","","WR [20243] ","48.7","1.96","","15.14","","9.76","1.26","","8.4","5.03","0.23","","2.43","3.57","0.92","0.18","","","","","","","","","","","","","","","2.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.18","","","","","","","","","","","","","","","39","712","34.41","251","51.17","","","","","","","","","","","","0.17","678","48.03","80.44","10.35","48.42","9.44","2.95","8.74","1.27","6.27","1.14","2.88","","2.17","0.3","5.58","3.02","","","","","","","","","3.04","","4.07","0.83","","","","","","","","","","","","","","","","","","","","","","","","","1035128",
