"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[19990]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / LAMINGTON MOUNTAIN","","-8.95","-8.95","148.15","148.15","SAE","","","s_LAM-2 [19990]","ANDESITE [19990]","","","","","","","1951","","VOL","","","","","WR [19990] ","61","0.63","","17.29","","","","5.15","5.71","2.86","0.1","","2.18","4.5","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8","","99","70","","","33","27","17","","20","","","","","52.7","997","15.7","164","4.78","","","","","","","","","","","","2.45","664","17.76","36.54","5.06","20.31","3.95","1.17","4.07","0.51","2.72","0.54","1.4","0.23","1.38","0.22","","","","","","","","","","","15.72","","4.21","1.23","0.512852","","","0.703968","","","","","","","","","","","","","","","","","","","","","1024279",
"[19990]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / LAMINGTON MOUNTAIN","","-8.95","-8.95","148.15","148.15","SAE","","","s_LAM-4 [19990]","ANDESITE [19990]","","","","","","","1951","","VOL","","","","","WR [19990] ","60.54","0.65","","16.97","","","","5.53","5.84","3.3","0.11","","2.15","4.44","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5","","114","89","","","36","32","13","","20","","","","","55.9","965","16.48","164","5.25","","","","","","","","","","","","2.74","622","15.96","33.18","4.7","19.01","3.75","1.11","3.87","0.49","2.58","0.52","1.34","0.22","1.34","0.21","","","","","","","","","","","14.64","","4.03","1.09","0.512851","","","0.703802","","","","","","","","","","","","","","","","","","","","","1024281",
"[19990]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / LAMINGTON MOUNTAIN","","-8.95","-8.95","148.15","148.15","SAE","","","s_LAM-5 [19990]","ANDESITE [19990]","","","","","","","1951","","VOL","","","","","WR [19990] ","61.15","0.64","","17.3","","","","5.28","5.71","2.94","0.11","","2.16","4.53","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.1","","102","64","","","40","25","13","","20","","","","","55","940","15.81","168","5.47","","","","","","","","","","","","2.51","621","16.59","34.05","4.64","18.56","3.62","1.06","3.53","0.45","2.44","0.48","1.27","0.21","1.23","0.2","","","","","","","","","","","14.75","","4.01","1.12","0.512894","","","0.703875","","","","","","","","","","","","","","","","","","","","","1024282",
"[19990]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / LAMINGTON MOUNTAIN","","-8.95","-8.95","148.15","148.15","SAE","","","s_LAM-8H [19990]","ANDESITE [19990]","","","","","","","1951","","VOL","","","","","WR [19990] ","61.1","0.63","","17.19","","","","5.23","5.56","3.09","0.1","","2.14","4.45","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7","","107","96","","","31","36","12","","20","","","","","52.9","934","15.01","160","5.02","","","","","","","","","","","","2.73","650","14.72","30.13","4.13","16.73","3.38","1.06","3.32","0.44","2.43","0.48","1.28","0.21","1.29","0.21","","","","","","","","","","","15.79","","4.81","1.36","0.512876","","","0.703922","","","","","","","","","","","","","","","","","","","","","1024284",
"[19990]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / LAMINGTON MOUNTAIN","","-8.95","-8.95","148.15","148.15","SAE","","","s_LAM-9H [19990]","ANDESITE [19990]","","","","","","","1951","","VOL","","","","","WR [19990] ","60.66","0.63","","17.03","","","","5.35","5.8","3.13","0.1","","2.17","4.47","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4","","112","109","","","37","43","14","","20","","","","","54.2","985","15.96","162","4.91","","","","","","","","","","","","2.72","656","17.41","36.05","5.02","20.23","3.95","1.17","4.13","0.52","2.74","0.55","1.41","0.23","1.4","0.22","","","","","","","","","","","15.62","","4.44","1.22","0.51287","","","0.703881","","","","","","","","","","","","","","","","","","","","","1024285",
"[19990]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / LAMINGTON MOUNTAIN","","-8.95","-8.95","148.15","148.15","SAE","","","s_LAM-10H [19990]","ANDESITE [19990]","","","","","","","1951","","VOL","","","","","WR [19990] ","60.86","0.63","","17.16","","","","5.37","5.7","3.05","0.1","","2.18","4.45","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.8","","110","98","","","37","40","23","","20","","","","","54","926","16.49","164","5.14","","","","","","","","","","","","2.56","639","17.46","36.28","5","19.93","3.88","1.14","3.8","0.49","2.65","0.54","1.38","0.23","1.35","0.21","","","","","","","","","","","15.77","","4.26","1.24","0.512856","","","0.703832","","","","","","","","","","","","","","","","","","","","","1024286",
"[19990]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / LAMINGTON MOUNTAIN","","-8.95","-8.95","148.15","148.15","SAE","","","s_LAM-17 [19990]","ANDESITE [19990]","","","","","","","1951","","VOL","","","","","WR [19990] ","60.95","0.63","","17.27","","","","5.35","5.7","3.03","0.1","","2.19","4.47","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","111","92","","","38","38","18","","20","","","","","55.3","1000","16.08","170","5.09","","","","","","","","","","","","2.42","660","17.15","35.64","4.99","20.11","3.92","1.14","4.06","0.51","2.67","0.54","1.39","0.22","1.37","0.22","","","","","","","","","","","15.58","","4.28","1.25","0.512848","","","0.703916","","","","","","","","","","","","","","","","","","","","","1024290",
"[19990]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / LAMINGTON MOUNTAIN","","-8.95","-8.95","148.15","148.15","SAE","","","s_LAM-19H [19990]","ANDESITE [19990]","","","","","","","1951","","VOL","","","","","WR [19990] ","60.54","0.65","","17.03","","","","5.49","5.79","3.27","0.11","","2.16","4.41","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","","115","110","","","36","39","14","","20","","","","","53.6","924","16.26","166","4.99","","","","","","","","","","","","2.72","656","16.99","35.05","4.86","19.58","3.89","1.16","3.83","0.5","2.72","0.54","1.42","0.23","1.42","0.22","","","","","","","","","","","16.28","","4.86","1.28","0.512879","","","0.703919","","","","","","","","","","","","","","","","","","","","","1024291",
"[19990]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / LAMINGTON MOUNTAIN","","-8.95","-8.95","148.15","148.15","SAE","","","s_LAM-20H [19990]","ANDESITE [19990]","","","","","","","1951","","VOL","","","","","WR [19990] ","60.57","0.65","","17.14","","","","5.43","5.86","3.23","0.11","","2.14","4.45","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5","","116","91","","","30","33","15","","20","","","","","54.2","982","16.28","162","4.95","","","","","","","","","","","","2.75","627","17.23","35.18","4.91","19.61","3.83","1.13","3.88","0.5","2.65","0.53","1.38","0.22","1.37","0.22","","","","","","","","","","","14.76","","4.39","1.24","0.512884","","","0.703952","","","","","","","","","","","","","","","","","","","","","1024292",
"[19990]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / LAMINGTON MOUNTAIN","","-8.95","-8.95","148.15","148.15","SAE","","","s_LAM-21H [19990]","ANDESITE [19990]","","","","","","","1951","","VOL","","","","","WR [19990] ","59.85","0.65","","16.98","","","","5.52","5.92","3.44","0.11","","2.11","4.38","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7","","117","108","","","37","35","13","","20","","","","","53.1","929","16.56","162","4.99","","","","","","","","","","","","2.65","631","17.25","35.93","4.95","19.69","3.87","1.14","3.79","0.49","2.68","0.52","1.39","0.23","1.4","0.22","","","","","","","","","","","15","","4.63","1.23","0.512853","","","0.703902","","","","","","","","","","","","","","","","","","","","","1024293",
