"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20190]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ITSAQ GNEISS COMPLEX","AKILIA ISLAND","64","64","-52","-52","SAE","","","s_GR0020 [20190]","GNEISS, PARA [20190]","","","EO [20190]","ARCHEAN [20190]","","","","","MET","","","","","WR [20190] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.003246","0.000844","0.007221","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000813","0.000729","0.006217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027144",
"[20190]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ITSAQ GNEISS COMPLEX","AKILIA ISLAND","64","64","-52","-52","SAE","","","s_GR0031 [20190]","GNEISS, PARA [20190]","","","EO [20190]","ARCHEAN [20190]","","","","","MET","","","","","WR [20190] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.002706","0.000871","0.005866","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000557","0.000597","0.00665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027145",
"[20190]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ITSAQ GNEISS COMPLEX","AKILIA ISLAND","64","64","-52","-52","SAE","","","s_GR9703 [20190]","KOMATIITE [20190]","","","EO [20190]","ARCHEAN [20190]","","","","","VOL","","","","","WR [20190] ","48.67","0.3","","8.19","","","","9.78","4.18","22.29","0.18","","1.97","0.98","0.02","","","","","","","","","","","","","","","","1.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2367","","","79","729","","","","","","","","","","","26","","","0.00353","0.0009","0.00291","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00074","0.00069","0.00387","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027146",
"[20190]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ITSAQ GNEISS COMPLEX","AKILIA ISLAND","64","64","-52","-52","SAE","","","s_GR0019 [20190]","GNEISS, PARA [20190]","","","EO [20190]","ARCHEAN [20190]","","","","","MET","","","","","WR [20190] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004848","0.001053","0.006789","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.001236","0.00119","0.006019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027147",
"[20190]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ITSAQ GNEISS COMPLEX","AKILIA ISLAND","64","64","-52","-52","SAE","","","s_GR0030 [20190]","GNEISS, PARA [20190]","","","EO [20190]","ARCHEAN [20190]","","","","","MET","","","","","WR [20190] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00246","0.000997","0.00376","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00043","0.000575","0.006867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027148",
"[20190]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ITSAQ GNEISS COMPLEX","INNERSUARTUUT ISLAND","64","64","-52","-52","SAE","","","s_GR97M22 [20190]","GNEISS, PARA [20190]","","","EO [20190]","ARCHEAN [20190]","","","","","MET","","","","","WR [20190] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.001913","","0.035187","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000013","0.00052","0.000286","0.00861","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027150",
"[20216]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER)","","65","65","-50","-50","SAE","","","s_70003 [20216]","AMPHIBOLITE [20216]","","","","ARCHEAN [20216]","","","","","MET","","","","","WR [20216] ","49.0130469854018","0.227213605905118","","19.4068068046391","","","","8.9","7.52281661255475","10.1568341721289","0.148352412820947","","5.89843063162203E-02","2.06529707597082","2.46900952652883E-02","","","","","","","","","","","","","","","","1.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.74417172397753","53.3499790744839","8.2375785025649","9.85414578898451","0.161924398317729","","","","","","","","","","","","","10.0872475200314","0.524485146629989","1.02457719702891","0.168884208848694","0.84481132156939","0.302049643360017","0.181560473009439","0.646061146749701","0.133345491028694","1.13216215785519","0.281249741477538","0.943598919734215","0.158622634393428","1.12994170973197","0.16837687428697","0.395309055163756","0.012855428711007","","","","","","","","","8.91298289317234","","3.38156116448565E-02","1.42157457277031E-02","","","","","","","","","","","","","","","","","","","","","","","","","1031304",
"[20216]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER)","","65","65","-50","-50","SAE","","","s_70023 [20216]","AMPHIBOLITE [20216]","","","","ARCHEAN [20216]","","","","","MET","","","","","WR [20216] ","44.9404876897895","0.143119662451655","","18.8927744925345","","","","7.89","9.32870310368436","11.7148308399226","0.101412355137662","","6.07113087772338E-02","2.14477679969368","2.21479180999154E-02","","","","","","","","","","","","","","","","3.87438046916772","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05877037745966","51.1311488793403","5.81208851683992","5.78969206476493","0.128250655625093","","","","","","","","","","","","","10.6752738666108","0.570995934776175","0.955581595770422","0.136217513287496","0.52","0.17","0.195787411229078","0.424304520309813","8.37657390040686E-02","0.766888899514583","0.197569155267091","0.665047888530546","0.108952491162677","0.808772236547487","0.12500022983022","0.239217534111607","1.00826551354663E-02","","","","","","","","","2.13351455788863","","2.52685324398361E-02","7.70158305587067E-03","0.513068","","","","","","","","","","","","","","","","","","","","","","","","1031305",
"[20216]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER)","","65","65","-50","-50","SAE","","","s_175551 [20216]","AMPHIBOLITE [20216]","","","","ARCHEAN [20216]","","","","","MET","","","","","WR [20216] ","46.0991409619741","0.223858323670399","","15.9402545411045","","","","10.13","11.7237413038535","11.6521538455048","0.210842014000003","","9.01772539737489E-02","1.01938928566788","0.110512990692785","","","","","","","","","","","","","","","","1.66810858451475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.742876318470362","34.704464219312","13.3704684322869","14.3715758255147","1.69231328018251","","","","","","","","","","","","","6.35473342727092","2.24944145455756","4.86208365387571","0.633948389336599","2.7","0.75","0.320446208228056","1.17853728385923","0.222339711555499","1.77230204625798","0.457746686800845","1.54564340465441","0.252392958781101","1.89821320240519","0.32204353619268","0.521876542891151","0.181970609861431","","","","","","","","","5.08985786913576","","0.455155265070237","0.191970826608003","0.512059","","","","","","","","","","","","","","","","","","","","","","","","1031306",
"[20216]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER)","","65","65","-50","-50","SAE","","","s_175552 [20216]","AMPHIBOLITE [20216]","","","","ARCHEAN [20216]","","","","","MET","","","","","WR [20216] ","49.611499408753","0.31637622478086","","17.5445762870672","","","","9.93","7.93366570750361","11.3384899022984","0.232561756434554","","3.19496720018206E-02","1.0004761591454","3.75014087097212E-02","","","","","","","","","","","","","","","","0.898758973609748","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1102450710557","62.4630954151456","13.2138220990111","21.5474633705074","1.88463485939888","","","","","","","","","","","","","6.82249381061038","2.08541066590101","4.61849787725794","0.644482393861748","2.85286323274127","0.765266756190612","0.209737658142366","1.18299287241208","0.22435109576221","1.8409763999379","0.453930292187702","1.5100901989443","0.245044577678226","1.75057081816883","0.277299163728516","0.761037791077813","0.142681742649739","","","","","","","","","3.35513092845532","","0.434805189297217","0.144455896928037","","","","","","","","","","","","","","","","","","","","","","","","","1031307",
