"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1C1 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","BASAL CUMULATE [21131] ","VOL","","","","","WR [21131] ","46.4","0.36","","3.35","0.22","","","11.34","4.2","33.64","0.16","0.23","0.01","0.06","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.569","","5.424","","","","","","","","","","","","21.356","2140.64","98.815","1570.1","","","106.587","1714.2","","68.329","4.208","1.393","","","","2.3","15.39","7.649","20.29","1.046","","","","","","0.021","","","","","","0.226","1.807","1.079","3.064","0.534","2.767","0.962","0.221","1.207","0.211","1.283","0.267","0.739","0.104","0.742","0.097","0.528","0.055","3.445","","","","","","","","0.24","","0.142","0.038","","","","","","","","","","","","","","","","","","","","","","","","","1180964",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1C2 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","CUMULOUS PYROXENE [21131] ","VOL","","","","","WR [21131] ","49.98","0.48","","4.84","0.27","","","11.59","9.75","21.68","0.22","0.14","0.11","0.9","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.288","","1.018","","","","","","","","","","","","25.02","2891.05","125.509","2012.9","","","75.05","1045","","75.264","6.473","1.48","","","","2.782","72.97","11.08","25.098","1.473","","","","","","0.055","","","","","","1.467","13.422","1.714","4.632","0.748","3.818","1.312","0.377","1.649","0.291","1.766","0.379","1.057","0.15","1.105","0.142","0.752","0.078","0.117","","","","","","","","0.393","","0.217","0.059","","","","","","","","","","","","","","","","","","","","","","","","","1180965",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1C3 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","BASAL CUMULATE [21131] ","VOL","","","","","WR [21131] ","45.37","0.28","","2.92","0.2","","","10.32","3.95","36.38","0.16","0.27","0.02","0.1","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.415","","5.698","","","","","","","","","","","","16.095","1677.64","82.791","1391","","","83.013","2063.8","","59.317","3.76","1.297","","","","1.161","28.88","6.446","14.579","0.786","","","","","","0.013","","","","","","0.636","1.589","1.065","2.951","0.476","2.716944","0.883559","0.342","0.963","0.169","1.02","0.218","0.603","0.088","0.604","0.08","0.422","0.045","3.203","","","","","","","","3.21","","0.115","0.03","0.512661","","","","","","","","","","","","","","","","","","","","","","","","1180966",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1C5 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","BASAL CUMULATE [21131] ","VOL","","","","","WR [21131] ","45.82","0.33","","3.26","0.22","","","11.3","3.94","34.6","0.16","0.24","0.01","0.08","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58","","3.269","","","","","","","","","","","","18.282","2006.31","84.047","1581.9","","","89.276","1810.3","","66.2","3.95","1.391","","","","2.83","25.43","8.123","17.24","0.927","","","","","","0.023","","","","","","0.479","0.311","1.309","3.528","0.573","3.260846","1.052787","0.285","1.217","0.212","1.285","0.276","0.783","0.109","0.729","0.1","0.485","0.055","2.974","","","","","","","","0.35","","0.143","0.039","0.512665","","","","","","","","","","","","","","","","","","","","","","","","1180967",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1C6 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","BASAL CUMULATE [21131] ","VOL","","","","","WR [21131] ","47.81","0.32","","3.29","0.2","","","10.19","4.77","32.85","0.17","0.24","0.01","0.12","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.252","","4.254","","","","","","","","","","","","15.878","1931.77","78.196","1486.6","","","71.319","1785.2","","57.096","3.719","1.298","","","","3.06","42.32","7.368","17.021","0.923","","","","","","0.016","","","","","","0.181","6.806","1.268","3.503","0.563","2.864","0.951","0.392","1.137","0.201","1.228","0.256","0.721","0.103","0.661","0.098","0.506","0.053","1.591","","","","","","","","1.68","","0.152","0.032","","","","","","","","","","","","","","","","","","","","","","","","","1180968",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1C4 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","BASAL CUMULATE [21131] ","VOL","","","","","WR [21131] ","45.72","0.26","","2.75","0.19","","","10.64","3.12","36.77","0.16","0.28","0.01","0.07","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.909","","4.689","","","","","","","","","","","","14.087","1568.48","71.005","1355.8","","","91.396","2059.2","","52.293","3.253","1.288","","","","4.37","31.83","5.812","13.865","0.693","","","","","","0.01","","","","","","0.665","2.348","0.935","2.637","0.439","2.195","0.732","0.287","0.903","0.16","0.968","0.201","0.576","0.082","0.551","0.079","0.389","0.038","2.075","","","","","","","","0.649","","0.11","0.023","","","","","","","","","","","","","","","","","","","","","","","","","1180969",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1M21 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","BASAL CUMULATE [21131] ","VOL","","","","","WR [21131] ","45.77","0.24","","2.32","0.2","","","9.74","1.81","39.37","0.16","0.32","0.01","0.04","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.014","","5.97","","","","","","","","","","","","13.374","1464.51","59.201","1370.2","","","84.515","2297.9","","59.71","2.64","1.235","","","","3.87","15.8","5.248","13.551","0.728","","","","","","0.011","","","","","","0.416","0.368","0.82","2.308","0.386","2","0.663","0.218","0.824","0.146","0.872","0.183","0.521","0.073","0.467","0.065","0.401","0.039","2.863","","","","","","","","1.74","","0.099","0.022","","","","","","","","","","","","","","","","","","","","","","","","","1180970",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1M22 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","BASAL CUMULATE [21131] ","VOL","","","","","WR [21131] ","46.68","0.22","","2.19","0.2","","","9.63","3.02","37.51","0.15","0.29","0.01","0.07","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.961","","3.001","","","","","","","","","","","","12.537","1346.31","58.894","1435.2","","","79.678","2148","","55.859","2.521","1.323","","","","2.99","28.76","5.715","13.288","0.593","","","","","","0.02","","","","","","0.148","0.831","0.895","2.279","0.389","1.989","0.718","0.284","0.894","0.163","0.965","0.204","0.575","0.08","0.499","0.076","0.405","0.033","0.563","","","","","","","","0.63","","0.114","0.025","","","","","","","","","","","","","","","","","","","","","","","","","1180971",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1M23 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","BASAL CUMULATE [21131] ","VOL","","","","","WR [21131] ","45.1","0.25","","2.51","0.19","","","10.63","2.51","38.25","0.16","0.29","0.01","0.06","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.926","","2.591","","","","","","","","","","","","11.202","1502.37","55.629","1387.8","","","93.069","2188.5","","48.154","2.717","1.261","","","","3.75","25.59","4.62","14.387","0.739","","","","","","0.012","","","","","","0.452","0.507","0.822","2.233","0.357","1.845","0.623","0.213","0.748","0.133","0.809","0.171","0.496","0.071","0.449","0.072","0.387","0.038","2.123","","","","","","","","0.462","","0.1","0.022","","","","","","","","","","","","","","","","","","","","","","","","","1180972",
"[21131]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","SINGHBHUM CRATON_ARCHEAN / SINGHBHUM GRANITE COMPLEX","NEAR KAPILI VILLAGE","22.3529","22.3529","86.2435","86.2435","SAE","","","s_S1SP2 [21131]","KOMATIITE [21131]","","","PALEO [21131]","ARCHEAN [21131]","","","","PLATY SPINIFEX [21131] ","VOL","","","","","WR [21131] ","46.93","0.2","","5.5","0.44","","","9.65","6.58","29.86","0.18","0.19","0.03","0.46","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.47","","0.402","","","","","","","","","","","","19.7","1179.86","78.898","2983.9","","","84.843","1545.1","","58.612","4.962","1.112","","","","4.78","55.97","7.414","16.627","0.781","","","","","","0.016","","","","","","0.279","9.717","1.452","3.41","0.478","2.141","0.668","0.165","0.876","0.172","1.129","0.255","0.788","0.119","0.852","0.124","0.53","0.057","0.114","","","","","","","","0.499","","0.343","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1180973",
