"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18092]","RIFT VOLCANICS","GARDAR PROVINCE - GREENLAND / QASSIARSUK-TASIUSAQ GRABEN / QASSIARSUK (QAGSSIARSSUK) COMPLEX","","61.15","61.15","-45.52","-45.52","SAE","","","s_320209 [18092]","CARBONATITE [18092]","","","","","","","","","VOL","","","","","WR [18092] ","2.6","0.4","","0.9","","2.6","1.52","","31.06","15.97","0.67","","0.03","0.02","3.81","0.79","","","","36.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","53","29","","","","48","54","226","5","","","","","4","870","65","562","546","","","","","","","","","","","","","9753","193","379","","157","","","","","","","","","","","","","","","","","","","","","9","","5","","","","","","","","","","","","","","","","","","","","","","","","","","1039914",
"[18092]","RIFT VOLCANICS","GARDAR PROVINCE - GREENLAND / QASSIARSUK-TASIUSAQ GRABEN / QASSIARSUK (QAGSSIARSSUK) COMPLEX","","61.15","61.15","-45.52","-45.52","SAE","","","s_320256 [18092]","CARBONATITE [18092]","","","","","","","","","VOL","","","","","WR [18092] ","8.14","1.72","","2.59","","8.81","0.15","","41.77","1.49","0.44","","0.92","0.04","3.51","0.87","","","","26.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","147","0","","","","42","32","165","18","","","","","74","2935","59","141","691","","","","","","","","","","","","","804","341","546","","329","","","","","","","","","","","","","","","","","","","","","11","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1039915",
"[18012]","RIFT VOLCANICS","GARDAR PROVINCE - GREENLAND / IGALIKO PENINSULA / IGALIKO DYKE SWARM","","60.8","60.8","-45.58","-45.58","SAE","","","s_GGU41958 [18012]","CARBONATITE [18012]","","","","PROTEROZOIC [18012]","","","","","PLU","","","","","WR [18012] ","3.4","0.1","","0.76","","","","4.4","49.43","0.79","2.37","","0.04","0.51","0.04","","","","","","","0.22","0","","","","","","","","38.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2","","","","11","","525","7","","","","","25","2793","568","11","21","","","","","","","","","","","","","174","1080","2104","","768","","","","","","","","","","","","","","","","","","","","","","","14","4","","","","0.7031","","","","","","","","","","","","","","","","","","","","","1097992",
"[18012]","RIFT VOLCANICS","GARDAR PROVINCE - GREENLAND / IGALIKO PENINSULA / IGALIKO DYKE SWARM","","60.8","60.8","-45.58","-45.58","SAE","","","s_GGU41963 [18012]","CARBONATITE [18012]","","","","PROTEROZOIC [18012]","","","","","PLU","","","","","WR [18012] ","14.55","0.1","","0.22","","","","3.05","44.21","0.58","1.44","","0","0.54","0.08","","","","","","","0.58","0","","","","","","","","34.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","2","","","","15","","293","2","","","","","18","4679","899","7","30","","","","","","","","","","","","","415","1242","2429","","913","","","","","","","","","","","","","","","","","","","","","","","87","5","","","","0.70364","","","","","","","","","","","","","","","","","","","","","1097993",
"[18012]","RIFT VOLCANICS","GARDAR PROVINCE - GREENLAND / IGALIKO PENINSULA / IGALIKO DYKE SWARM","","60.8","60.8","-45.58","-45.58","SAE","","","s_GGU41982 [18012]","CARBONATITE [18012]","","","","PROTEROZOIC [18012]","","","","","PLU","","","","","WR [18012] ","10.16","0.14","","1.97","","","","6.73","40.36","0.87","3.04","","0.76","0.83","0.33","","","","","","","0.27","0.01","","","","","","","","32.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","22","","545","13","","","","","107","5970","1365","35","47","","","","","","","","","","","","","276","2099","4104","","1463","","","","","","","","","","","","","","","","","","","","","","","133","6","","","","0.7031","","","","","","","","","","","","","","","","","","","","","1097994",
"[18012]","RIFT VOLCANICS","GARDAR PROVINCE - GREENLAND / IGALIKO PENINSULA / IGALIKO DYKE SWARM","","60.8","60.8","-45.58","-45.58","SAE","","","s_GGU43859 [18012]","CARBONATITE [18012]","","","","PROTEROZOIC [18012]","","","","","PLU","","","","","WR [18012] ","0.14","0.09","","0.22","","","","3.89","46.42","0.67","2.01","","0","0.75","0.93","","","","","","","0.31","0","","","","","","","","39.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","15","","51","1","","","","","36","30574","433","0","42","","","","","","","","","","","","","5206","1992","4451","","2017","","","","","","","","","","","","","","","","","","","","","","","35","37","","","","","","","","","","","","","","","","","","","","","","","","","1097995",
"[18012]","RIFT VOLCANICS","GARDAR PROVINCE - GREENLAND / IGALIKO PENINSULA / IGALIKO DYKE SWARM","","60.8","60.8","-45.58","-45.58","SAE","","","s_GGU43931 [18012]","CARBONATITE [18012]","","","","PROTEROZOIC [18012]","","","","","PLU","","","","","WR [18012] ","17.54","0.09","","4.07","","","","0.51","34.57","0.55","1.78","","0","2.35","0","","","","","","","0.39","0.02","","","","","","","","36.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5","","","","21","","613","4","","","","","20","4595","1820","14","25","","","","","","","","","","","","","78","187.32","469.63","44.06","222.17","91.3","16.28","141.11","","","53.94","236.96","","267.06","23.08","","","","","","","","","","","","","8","9","","","","","","","","","","","","","","","","","","","","","","","","","1097996",
"[18012]","RIFT VOLCANICS","GARDAR PROVINCE - GREENLAND / IGALIKO PENINSULA / IGALIKO DYKE SWARM","","60.8","60.8","-45.58","-45.58","SAE","","","s_GGU46257 [18012]","CARBONATITE [18012]","","","","PROTEROZOIC [18012]","","","","","PLU","","","","","WR [18012] ","3.59","0.14","","1.03","","","","14.92","42.24","2.35","1.9","","0.95","0.65","2.88","","","","","","","2.83","0","","","","","","","","24.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","","","","25","","135","10","","","","","67","7970","1171","1","248","","","","","","","","","","","","","187","6540.8","15168","","3278","515.4","113.1","310.6","","159.6","33.8","116.4","","74.4","8.62","","","","","","","","","","","","","755","7","","","","0.70316","","","","","","","","","","","","","","","","","","","","","1097997",
"[18012]","RIFT VOLCANICS","GARDAR PROVINCE - GREENLAND / IGALIKO PENINSULA / IGALIKO DYKE SWARM","","60.8","60.8","-45.58","-45.58","SAE","","","s_GGU54243 [18012]","CARBONATITE [18012]","","","","PROTEROZOIC [18012]","","","","","PLU","","","","","WR [18012] ","6.59","0.12","","0.37","","","","11.23","41.05","1.32","2.44","","0","0.71","4.09","","","","","","","0.3","0","","","","","","","","27.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","3","","","","24","","849","3","","","","","40","39933","809","1","647","","","","","","","","","","","","","2766","1845","4154","","1757","","","","","","","","","","","","","","","","","","","","","","","314","40","","","","","","","","","","","","","","","","","","","","","","","","","1097998",
"[18012]","RIFT VOLCANICS","GARDAR PROVINCE - GREENLAND / IGALIKO PENINSULA / IGALIKO DYKE SWARM","","60.8","60.8","-45.58","-45.58","SAE","","","s_GGU54244 [18012]","CARBONATITE [18012]","","","","PROTEROZOIC [18012]","","","","","PLU","","","","","WR [18012] ","3.08","0.12","","0.23","","","","13.32","41.19","1.4","2.43","","0","0.6","3.35","","","","","","","0.6","0","","","","","","","","28.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","0","","","","23","","1052","4","","","","","40","39348","860","0","293","","","","","","","","","","","","","3593","1784","3820","","1541","","","","","","","","","","","","","","","","","","","","","","","311","38","","","","","","","","","","","","","","","","","","","","","","","","","1097999",
