"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[3822]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD-CENIZA","UNIT CDL","30.459","30.459","-115.97","-115.97","SAE","","","s_BCN-4 [3822]","NOT GIVEN [3822]","","","","","","","","","VOL","","","","","WR [3822] ","48.01","2.26","","15.73","","3.89","6.61","","9.39","8.69","0.16","","1.49","3.35","0.53","","","","","","","","","","","","","","","","-0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2","","218","241","","","44.5","156","39","68","","","","","0.9","28","504","28","229","45","","","","","","","","","0.11","","","0.38","334","28.5","57.1","","32","6.27","1.99","","0.87","","","","","2.24","0.314","4.91","2.71","","","","","","","","","2.51","","3.68","1","0.512927","","","0.703321","","19.154","","15.605","","38.872","","","","","","","","","","","","","","","103024",
"[3822]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD-CENIZA","UNIT CUL","30.454","30.454","-115.98","-115.98","SAE","","","s_BCN-76 [3822]","NOT GIVEN [3822]","","","","","","","","","VOL","","","","","WR [3822] ","48.34","2.41","","15.59","","2.46","8.28","","9.43","8.57","0.17","","1.53","3.23","0.6","","","","","","","","","","","","","","","","-0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2","","208","224","","","45.7","136","54","66","","","","","0.8","28","515","28","200","44","","","","","","","","","0.17","","","0.42","334","29.6","59.9","","30","6.55","2.14","","0.92","","","","","2.4","0.351","5.17","2.74","","","","","","","","","2.64","","3.73","1.02","0.512935","","","0.703359","","19.142","","15.614","","38.895","","","","","","","","","","","","","","","103025",
"[3822]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD-KENTON","KUT UNIT","30.454","30.454","-115.982","-115.982","SAE","","","s_BCN-83 [3822]","NOT GIVEN [3822]","","","","","","","","","VOL","","","","","WR [3822] ","46.54","2.92","","15.27","","3.84","7.85","","9.55","7.97","0.18","","1.86","3.07","0.63","","","","","","","","","","","","","","","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.8","","220","169","","","44","122","37","82","","","","","1.5","30","611","30","223","53","","","","","","","","","0.1","","","0.46","464","33.9","69.3","","33","7.86","2.5","","1.11","","","","","2.54","0.372","5.82","3.08","","","","","","","","","","","3.75","1.07","","","","","","","","","","","","","","","","","","","","","","","","","103026",
"[3822]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD-KENTON","KUT UNIT","30.463","30.463","-115.99","-115.99","SAE","","","s_BCN-84 [3822]","NOT GIVEN [3822]","","","","","","","","","VOL","","","","","WR [3822] ","47.36","2.61","","15.46","","4.17","6.36","","9.34","8.5","0.17","","1.72","3","0.68","","","","","","","","","","","","","","","","0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3","","215","224","","","44.1","159","38","69","","","","","1.5","31","574","30","213","60","","","","","","","","","0.08","","","0.37","387","33","67.3","","35","7.45","2.37","","1.01","","","","","2.57","0.371","5.4","3.2","","","","","","","","","2.61","","3.72","1.05","0.512943","","","0.703277","","19.252","","15.615","","38.996","","","","","","","","","","","","","","","103027",
"[3822]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD-KENTON","KBL UNIT","30.4833","30.4833","-115.95","-115.95","SAE","","","s_BCN-5 [3822]","NOT GIVEN [3822]","","","","","","","","","VOL","","","","","WR [3822] ","45.86","3.03","","15.36","","4.33","7.51","","9.18","8.43","0.18","","1.73","3.5","0.55","","","","","","","","","","","","","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9","","218","189","","","47.8","133","29","69","","","","","1.1","30","592","31","245","41","","","","","","","","","0.1","","","0.38","385","33.1","68.6","","37","7.94","2.52","","1.12","","","","","2.69","0.372","5.79","2.98","","","","","","","","","2.14","","3.7","1.3","0.512919","","","0.703237","","19.282","","15.612","","39.021","","","","","","","","","","","","","","","103028",
"[3822]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD-KENTON","KBL UNIT","30.463","30.463","-116.008","-116.008","SAE","","","s_BCN-7 [3822]","NOT GIVEN [3822]","","","","","","","","","VOL","","","","","WR [3822] ","47.16","2.67","","16.04","","2.16","8.2","","9.26","8.42","0.17","","1.77","3.66","0.56","","","","","","","","","","","","","","","","-0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8","","204","221","","","43.8","140","47","64","","","","","1.1","32","580","29","245","56","","","","","","","","","0","","","0.37","420","33.7","68.4","","29","7.51","2.38","","1.01","","","","","2.56","0.379","5.55","3.27","","","","","","","","","2.45","","4.02","1.27","","","","0.703253","","19.234","","15.605","","38.954","","","","","","","","","","","","","","","103029",
"[3822]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD-KENTON","KUL UNIT","30.467","30.467","-115.988","-115.988","SAE","","","s_BCN-75 [3822]","NOT GIVEN [3822]","","","","","","","","","VOL","","","","","WR [3822] ","45.64","3.04","","15.27","","6.04","5.96","","9.49","8.45","0.18","","1.75","3.31","0.63","","","","","","","","","","","","","","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7","","237","191","","","47.5","124","35","63","","","","","0","28","579","32","201","44","","","","","","","","","0.1","","","0.33","389","31.7","65.2","","30","7.71","2.44","","1.08","","","","","2.58","0.369","5.48","2.96","","","","","","","","","2.37","","3.34","1.19","0.512936","","","0.703282","","19.29","","15.627","","39.075","","","","","","","","","","","","","","","103030",
"[3822]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD-KENTON","KDL UNIT","30.459","30.459","-116.025","-116.025","SAE","","","s_BCN-15 [3822]","NOT GIVEN [3822]","","","","","","","","","VOL","","","","","WR [3822] ","46.77","2.57","","15.68","","1.56","8.22","","9.21","8.54","0.16","","1.73","3.69","0.58","","","","","","","","","","","","","","","","-0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6","","205","261","","","45.1","177","47","66","","","","","1.1","35","574","30","251","51","","","","","","","","","0.07","","","0.35","403","34.4","69.3","","29","7.43","2.35","","1","","","","","2.68","0.371","5.57","3.29","","","","","","","","","2.32","","4.12","1.1","0.512951","","","0.703215","","19.295","","15.67","","39.185","","","","","","","","","","","","","","","103031",
"[3822]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD-RIVEROLI","UNIT RBL","30.484","30.484","-116.017","-116.017","SAE","","","s_BCN-23 [3822]","NOT GIVEN [3822]","","","","","","","","","VOL","","","","","WR [3822] ","47.63","2.35","","15.6","","3.67","6.22","","8.31","8.36","0.16","","1.81","3.85","0.65","","","","","","","","","","","","","","","","-0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1","","188","267","","","42.9","181","34","63","","","","","0.9","35","558","30","282","60","","","","","","","","","0.08","","","0.53","412","35.2","70.7","","32","7.24","2.25","","0.98","","","","","2.45","0.357","5.96","3.3","","","","","","","","","","","4.44","1.41","","","","","","","","","","","","","","","","","","","","","","","","","103032",
"[3822]","RIFT VOLCANICS","MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD-RIVEROLI","RC UNIT","30.485","30.485","-116.02","-116.02","SAE","","","s_BCN-29 [3822]","NOT GIVEN [3822]","","","","","","","","","VOL","","","","","WR [3822] ","48.21","2.33","","15.51","","2.31","7.84","","8.5","9.28","0.17","","1.73","3.66","0.56","","","","","","","","","","","","","","","","-0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1","","197","306","","","45.4","217","40","84","","","","","1.4","34","559","30","251","48","","","","","","","","","0.09","","","0.46","369","33.8","68.3","","35","7.01","2.18","","0.94","","","","","2.46","0.361","5.67","3.03","","","","","","","","","2.73","","4.34","1.37","0.512923","","","0.703293","","19.291","","15.613","","39.067","","","","","","","","","","","","","","","103033",
